Journal	JournalFullName	ISSN	2025IF	2025AI
INT J STRUCT STAB DY	INTERNATIONAL JOURNAL OF STRUCTURAL STABILITY AND DYNAMICS	0219-4554	3.8	0.385
INT J SURF SCI ENG	INTERNATIONAL JOURNAL OF SURFACE SCIENCE AND ENGINEERING	1749-785X	1.2	0.099
INT J SURG	INTERNATIONAL JOURNAL OF SURGERY	1743-9191	9.0	2.217
INT J SURG CASE REP	INTERNATIONAL JOURNAL OF SURGERY CASE REPORTS	2210-2612	0.6	0.138
INT J SURG OPEN	INTERNATIONAL JOURNAL OF SURGERY OPEN	2405-8572	0.6	0.215
INT J SURG PROTOC	INTERNATIONAL JOURNAL OF SURGERY PROTOCOLS	2468-3574	0.6	0.208
INT J SURG PATHOL	INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY	1066-8969	0.9	0.277
INT J SUST HIGHER ED	INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION	1467-6370	3.3	0.601
INT J SUST AGR MANAG	INTERNATIONAL JOURNAL OF SUSTAINABLE AGRICULTURAL MANAGEMENT AND INFORMATICS	2054-5819	1.6	0.135
INT J SUST AVIAT	INTERNATIONAL JOURNAL OF SUSTAINABLE AVIATION	2050-0467	1.0	0.092
INT J SUSTAIN CONSTR	INTERNATIONAL JOURNAL OF SUSTAINABLE CONSTRUCTION ENGINEERING AND TECHNOLOGY	2180-3242	0.7	0.101
INT J SUST DEV WORLD	INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY	1350-4509	6.8	0.958
INT J SUSTAIN ENERGY	INTERNATIONAL JOURNAL OF SUSTAINABLE ENERGY	1478-6451	4.2	0.45
INT J SUSTAIN ENG	INTERNATIONAL JOURNAL OF SUSTAINABLE ENGINEERING	1939-7038	4.1	0.56
INT J SUSTAIN TRANSP	INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION	1556-8318	3.1	0.969
INT J SWARM INTELL R	INTERNATIONAL JOURNAL OF SWARM INTELLIGENCE RESEARCH	1947-9263	1.2	0.121
INT J SYST ASSUR ENG	INTERNATIONAL JOURNAL OF SYSTEM ASSURANCE ENGINEERING AND MANAGEMENT	0975-6809	1.5	0.238
INT J SYST DYN APPL	INTERNATIONAL JOURNAL OF SYSTEM DYNAMICS APPLICATIONS	2160-9772	0.0	0.059
INT J SYST EVOL MICR	INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY	1466-5026	2.3	0.407
INT J SYST THEOL	INTERNATIONAL JOURNAL OF SYSTEMATIC THEOLOGY	1463-1652	0.1	0.313
INT J SYSTEMIC THER	INTERNATIONAL JOURNAL OF SYSTEMIC THERAPY	2692-398X	0.7	0.231
INT J SYST SCI	INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE	0020-7721	4.3	0.851
INT J SYST SCI-OPER	INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE-OPERATIONS & LOGISTICS	2330-2674	3.4	0.509
INT J TAIWAN STUD	INTERNATIONAL JOURNAL OF TAIWAN STUDIES	2468-8797	0.5	0.261
INT J TEACH EDUC PRO	INTERNATIONAL JOURNAL OF TEACHER EDUCATION AND PROFESSIONAL DEVELOPMENT	2572-4878	0.6	0.068
INT J TECHNOETHICS	INTERNATIONAL JOURNAL OF TECHNOETHICS	1947-3451	1.1	0.394
INT J TECHNOL HIGH E	INTERNATIONAL JOURNAL OF TECHNOLOGIES IN HIGHER EDUCATION	1708-7570	0.1	0.02
INT J TECHNOL	INTERNATIONAL JOURNAL OF TECHNOLOGY	2086-9614	1.8	0.122
INT J TECHNOL DES ED	INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION	0957-7572	2.9	0.526
INT J TECHNOL HUM IN	INTERNATIONAL JOURNAL OF TECHNOLOGY AND HUMAN INTERACTION	1548-3908	2.6	0.179
INT J TECHNOL ASSESS	INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE	0266-4623	3.0	0.906
INT J TECHNOL ENHANC	INTERNATIONAL JOURNAL OF TECHNOLOGY ENHANCED LEARNING	1753-5255	0.9	0.175
INT J TECHNOL EDUC	INTERNATIONAL JOURNAL OF TECHNOLOGY IN EDUCATION	N/A	3.6	0.532
INT J TECHNOL MANAGE	INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT	0267-5730	1.6	0.242
INT J TELEMED APPL	INTERNATIONAL JOURNAL OF TELEMEDICINE AND APPLICATIONS	1687-6415	2.2	0.895
INT J TELEREHABILITA	INTERNATIONAL JOURNAL OF TELEREHABILITATION	1945-2020	1.0	0.501
INT J TEST	INTERNATIONAL JOURNAL OF TESTING	1530-5058	1.9	0.485
INT J CLASS TRADIT	INTERNATIONAL JOURNAL OF THE CLASSICAL TRADITION	1073-0508	0.5	0.453
INT J COMMONS	INTERNATIONAL JOURNAL OF THE COMMONS	1875-0281	2.2	0.604
INT J ECON BUS	INTERNATIONAL JOURNAL OF THE ECONOMICS OF BUSINESS	1357-1516	0.7	0.32
INT J HIST SPORT	INTERNATIONAL JOURNAL OF THE HISTORY OF SPORT	0952-3367	0.8	0.242
INT J INCL MUS	INTERNATIONAL JOURNAL OF THE INCLUSIVE MUSEUM	1835-2014	0.8	0.178
INT J LEG PROF	INTERNATIONAL JOURNAL OF THE LEGAL PROFESSION	0969-5958	1.0	0.188
INT J PLATONIC TRADI	INTERNATIONAL JOURNAL OF THE PLATONIC TRADITION	1872-5082	0.1	0.171
INT J THEOR APPL FIN	INTERNATIONAL JOURNAL OF THEORETICAL AND APPLIED FINANCE	0219-0249	0.5	0.276
INT J THEOR PHYS	INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS	0020-7748	2.3	0.267
INT J THER REHABIL	INTERNATIONAL JOURNAL OF THERAPY AND REHABILITATION	1741-1645	0.6	0.128
INT J THERM SCI	INTERNATIONAL JOURNAL OF THERMAL SCIENCES	1290-0729	4.9	0.695
INT J THERMODYN	INTERNATIONAL JOURNAL OF THERMODYNAMICS	1301-9724	1.2	0.147
INT J THERMOPHYS	INTERNATIONAL JOURNAL OF THERMOPHYSICS	0195-928X	3.6	0.452
INT J TOUR CITIES	INTERNATIONAL JOURNAL OF TOURISM CITIES	2056-5607	3.4	0.415
INT J TOUR RES	INTERNATIONAL JOURNAL OF TOURISM RESEARCH	1099-2340	5.9	0.765
INT J TOXICOL	INTERNATIONAL JOURNAL OF TOXICOLOGY	1091-5818	1.3	0.375
INT J TRAIN DEV	INTERNATIONAL JOURNAL OF TRAINING AND DEVELOPMENT	1360-3736	1.6	0.369
INT J TRAIN RES	INTERNATIONAL JOURNAL OF TRAINING RESEARCH	1448-0220	1.3	0.202
INT J TRANSGEND HEAL	INTERNATIONAL JOURNAL OF TRANSGENDER HEALTH	2689-5269	8.4	2.969
INT J TRANSIT JUST	INTERNATIONAL JOURNAL OF TRANSITIONAL JUSTICE	1752-7716	1.8	0.945
INT J TRANSP ECON	INTERNATIONAL JOURNAL OF TRANSPORT ECONOMICS	0391-8440	0.4	0.062
INT J TRANSP SCI TEC	INTERNATIONAL JOURNAL OF TRANSPORTATION SCIENCE AND TECHNOLOGY	2046-0430	5.1	0.0
INT J TROP INSECT SC	INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE	1742-7584	1.3	0.23
INT J TRYPTOPHAN RES	INTERNATIONAL JOURNAL OF TRYPTOPHAN RESEARCH	1178-6469	4.9	1.048
INT J TUBERC LUNG D	INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE	1027-3719	3.6	1.161
INT J TURBO JET ENG	INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES	0334-0082	1.4	0.157
INT J TURBOMACH PROP	INTERNATIONAL JOURNAL OF TURBOMACHINERY PROPULSION AND POWER	N/A	2.1	0.356
INT J UNCERTAIN FUZZ	INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS	0218-4885	1.0	0.164
INT J UNCONV COMPUT	INTERNATIONAL JOURNAL OF UNCONVENTIONAL COMPUTING	1548-7199	0.4	0.087
INT J URBAN REGIONAL	INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH	0309-1317	2.4	1.153
INT J URBAN SCI	INTERNATIONAL JOURNAL OF URBAN SCIENCES	1226-5934	2.2	0.68
INT J URBAN SUSTAIN	INTERNATIONAL JOURNAL OF URBAN SUSTAINABLE DEVELOPMENT	1946-3138	3.1	0.703
INT J UROL NURS	INTERNATIONAL JOURNAL OF UROLOGICAL NURSING	1749-7701	0.5	0.113
INT J UROL	INTERNATIONAL JOURNAL OF UROLOGY	0919-8172	2.9	0.579
INT J VALUE CHAIN MA	INTERNATIONAL JOURNAL OF VALUE CHAIN MANAGEMENT	1741-5357	0.6	0.082
INT J VASC MED	INTERNATIONAL JOURNAL OF VASCULAR MEDICINE	2090-2824	0.7	0.346
INT J VEG SCI	INTERNATIONAL JOURNAL OF VEGETABLE SCIENCE	1931-5260	1.6	0.0
INT J VEHICLE DES	INTERNATIONAL JOURNAL OF VEHICLE DESIGN	0143-3369	0.7	0.131
INT J VEH PERFORM	INTERNATIONAL JOURNAL OF VEHICLE PERFORMANCE	1745-3194	1.8	0.0
INT J VENT	INTERNATIONAL JOURNAL OF VENTILATION	1473-3315	1.1	0.265
INT J VET SCI MED	INTERNATIONAL JOURNAL OF VETERINARY SCIENCE AND MEDICINE	2314-4580	2.3	0.445
INT J WATER RESOUR D	INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT	0790-0627	2.8	0.554
INT J WAVELETS MULTI	INTERNATIONAL JOURNAL OF WAVELETS MULTIRESOLUTION AND INFORMATION PROCESSING	0219-6913	0.8	0.136
INT J WEB GRID SERV	INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES	1741-1106	1.0	0.124
INT J WEB INF SYST	INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS	1744-0084	2.0	0.285
INT J WEB SERV RES	INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH	1545-7362	1.5	0.108
INT J WHOLE SCH	INTERNATIONAL JOURNAL OF WHOLE SCHOOLING	1710-2146	0.5	0.181
INT J WILDLAND FIRE	INTERNATIONAL JOURNAL OF WILDLAND FIRE	1049-8001	3.0	0.785
INT J WINE BUS RES	INTERNATIONAL JOURNAL OF WINE BUSINESS RESEARCH	1751-1062	2.2	0.362
INT J WIREL INF NETW	INTERNATIONAL JOURNAL OF WIRELESS INFORMATION NETWORKS	1068-9605	1.7	0.295
INT J WOMEN DERMATOL	INTERNATIONAL JOURNAL OF WOMENS DERMATOLOGY	2352-6475	3.0	0.0
INT J WOMENS HEALTH	INTERNATIONAL JOURNAL OF WOMENS HEALTH	1179-1411	2.5	0.691
INT J WOMEN HEAL REP	INTERNATIONAL JOURNAL OF WOMENS HEALTH AND REPRODUCTION SCIENCES	2330-4456	1.0	0.2
INT J WORK-INTEGR L	INTERNATIONAL JOURNAL OF WORK-INTEGRATED LEARNING	2538-1032	1.4	0.265
INT J WORKPLACE HEAL	INTERNATIONAL JOURNAL OF WORKPLACE HEALTH MANAGEMENT	1753-8351	2.4	0.461
INT J YOGA	INTERNATIONAL JOURNAL OF YOGA	0973-6131	1.8	0.375
INT J ARTIF INTELL T	INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS	0218-2130	1.0	0.171
INT J DIGIT LIBRARIE	INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES	1432-5012	1.7	0.39
INT J DOC ANAL RECOG	INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION	1433-2833	1.7	0.407
INT J INF TECHNOL SE	INTERNATIONAL JOURNAL ON INFORMATION TECHNOLOGIES AND SECURITY	1313-8251	0.9	0.032
INT J MINOR GROUP RI	INTERNATIONAL JOURNAL ON MINORITY AND GROUP RIGHTS	1385-4879	0.6	0.262
INT J SMART SENS INT	INTERNATIONAL JOURNAL ON SMART SENSING AND INTELLIGENT SYSTEMS	1178-5608	1.3	0.149
INT J SOFTW TOOLS TE	INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER	1433-2779	1.7	0.411
INT J STUD EDUC	INTERNATIONAL JOURNAL ON STUDIES IN EDUCATION	2690-7909	0.7	0.194
INT J WORKING COND	INTERNATIONAL JOURNAL ON WORKING CONDITIONS	2182-9535	0.2	0.038
INT LABOR WORK-CLASS	INTERNATIONAL LABOR AND WORKING-CLASS HISTORY	0147-5479	0.6	0.422
INT LABOUR REV	INTERNATIONAL LABOUR REVIEW	0020-7780	1.7	0.693
INT MARIT HEALTH	INTERNATIONAL MARITIME HEALTH	1641-9251	1.2	0.262
INT MARKET REV	INTERNATIONAL MARKETING REVIEW	0265-1335	5.4	0.925
INT MATER REV	INTERNATIONAL MATERIALS REVIEWS	0950-6608	17.0	3.683
INT MATH RES NOTICES	INTERNATIONAL MATHEMATICS RESEARCH NOTICES	1073-7928	1.1	1.254
INT MED CASE REP J	INTERNATIONAL MEDICAL CASE REPORTS JOURNAL	1179-142X	0.7	0.16
INT MED EDUC	INTERNATIONAL MEDICAL EDUCATION	N/A	2.2	0.493
INT MICROBIOL	INTERNATIONAL MICROBIOLOGY	1139-6709	2.9	0.49
INT MIGR	INTERNATIONAL MIGRATION	0020-7985	2.5	0.83
INT MIGR REV	INTERNATIONAL MIGRATION REVIEW	0197-9183	2.9	1.388
INT MULTILING RES J	INTERNATIONAL MULTILINGUAL RESEARCH JOURNAL	1931-3152	3.0	1.017
INT NANO LETT	INTERNATIONAL NANO LETTERS	2008-9295	0.8	0.487
INT NEGOT	INTERNATIONAL NEGOTIATION-A JOURNAL OF THEORY AND PRACTICE	1382-340X	1.3	0.312
INT NEUROUROL J	INTERNATIONAL NEUROUROLOGY JOURNAL	2093-4777	2.0	0.461
INT NURS REV	INTERNATIONAL NURSING REVIEW	0020-8132	4.8	0.885
INT OPHTHALMOL	INTERNATIONAL OPHTHALMOLOGY	0165-5701	1.7	0.431
INT ORGAN	INTERNATIONAL ORGANIZATION	0020-8183	4.8	5.21
INT ORGAN LAW REV	INTERNATIONAL ORGANIZATIONS LAW REVIEW	1572-3739	0.3	0.311
INT ORTHOD	INTERNATIONAL ORTHODONTICS	1761-7227	1.8	0.36
INT ORTHOP	INTERNATIONAL ORTHOPAEDICS	0341-2695	2.4	0.673
INT PEACEKEEPING	INTERNATIONAL PEACEKEEPING	1353-3312	1.7	0.799
INT PHILOS QUART	INTERNATIONAL PHILOSOPHICAL QUARTERLY	0019-0365	0.2	0.189
INT PLAN STUD	INTERNATIONAL PLANNING STUDIES	1356-3475	1.5	0.451
INT POLIT SCI REV	INTERNATIONAL POLITICAL SCIENCE REVIEW	0192-5121	2.2	1.165
INT POLIT SOCIOL	INTERNATIONAL POLITICAL SOCIOLOGY	1749-5679	3.2	1.471
INT POLITICS	INTERNATIONAL POLITICS	1384-5748	1.2	0.66
INT POLYM PROC	INTERNATIONAL POLYMER PROCESSING	0930-777X	2.0	0.155
INT PRODUCT MONIT	INTERNATIONAL PRODUCTIVITY MONITOR	1492-9759	0.9	0.317
INT PSYCHOGERIATR	INTERNATIONAL PSYCHOGERIATRICS	1041-6102	6.0	1.649
INT PUBLIC HIST	INTERNATIONAL PUBLIC HISTORY	N/A	0.4	0.361
INT PUBLIC MANAG J	INTERNATIONAL PUBLIC MANAGEMENT JOURNAL	1096-7494	2.4	0.959
INT REAL ESTATE REV	INTERNATIONAL REAL ESTATE REVIEW	2154-8919	0.3	0.079
INT REGIONAL SCI REV	INTERNATIONAL REGIONAL SCIENCE REVIEW	0160-0176	2.4	0.498
INT RELAT	INTERNATIONAL RELATIONS	0047-1178	2.1	0.858
INT RELAT ASIA-PAC	INTERNATIONAL RELATIONS OF THE ASIA-PACIFIC	1470-482X	1.9	0.741
INT RES CHILD LIT	INTERNATIONAL RESEARCH IN CHILDRENS LITERATURE	1755-6198	0.3	0.194
INT RES GEOGR ENVIRO	INTERNATIONAL RESEARCH IN GEOGRAPHICAL AND ENVIRONMENTAL EDUCATION	1038-2046	2.3	0.428
INT REV	INTERNATIONAL REVIEW	2217-9739	0.5	0.074
INT REV SPAT PLAN SU	INTERNATIONAL REVIEW FOR SPATIAL PLANNING AND SUSTAINABLE DEVELOPMENT	2187-3666	1.7	0.172
INT REV SOCIOL SPORT	INTERNATIONAL REVIEW FOR THE SOCIOLOGY OF SPORT	1012-6902	3.0	0.729
INT REV ADM SCI	INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES	0020-8523	3.2	0.865
INT REV APPL ECON	INTERNATIONAL REVIEW OF APPLIED ECONOMICS	0269-2171	1.3	0.338
INT REV ECON FINANC	INTERNATIONAL REVIEW OF ECONOMICS & FINANCE	1059-0560	7.6	1.038
INT REV ECON EDUC	INTERNATIONAL REVIEW OF ECONOMICS EDUCATION	1477-3880	1.3	0.248
INT REV EDUC	INTERNATIONAL REVIEW OF EDUCATION	0020-8566	1.9	0.517
INT REV ENVIRON RESO	INTERNATIONAL REVIEW OF ENVIRONMENTAL AND RESOURCE ECONOMICS	1932-1465	2.4	0.526
INT REV FINANC	INTERNATIONAL REVIEW OF FINANCE	1369-412X	2.3	0.441
INT REV FINANC ANAL	INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS	1057-5219	10.2	1.587
INT REV HYDROBIOL	INTERNATIONAL REVIEW OF HYDROBIOLOGY	1434-2944	1.2	0.333
INT REV INF ETHICS	INTERNATIONAL REVIEW OF INFORMATION ETHICS	1614-1687	0.4	0.315
INT REV LAW ECON	INTERNATIONAL REVIEW OF LAW AND ECONOMICS	0144-8188	1.0	0.475
INT REV MISSION	INTERNATIONAL REVIEW OF MISSION	0020-8582	0.3	0.462
INT REV PRAGMAT	INTERNATIONAL REVIEW OF PRAGMATICS	1877-3095	0.5	0.39
INT REV PSYCHIATR	INTERNATIONAL REVIEW OF PSYCHIATRY	0954-0261	2.3	1.231
INT REV RES OPEN DIS	INTERNATIONAL REVIEW OF RESEARCH IN OPEN AND DISTRIBUTED LEARNING	1492-3831	4.5	0.706
INT REV RETAIL DISTR	INTERNATIONAL REVIEW OF RETAIL DISTRIBUTION AND CONSUMER RESEARCH	0959-3969	2.8	0.457
INT REV SOC HIST	INTERNATIONAL REVIEW OF SOCIAL HISTORY	0020-8590	0.8	1.025
INT REV SOC PSYCHOL	INTERNATIONAL REVIEW OF SOCIAL PSYCHOLOGY	2397-8570	1.8	1.062
INT REV SOCIOL	INTERNATIONAL REVIEW OF SOCIOLOGY-REVUE INTERNATIONALE DE SOCIOLOGIE	0390-6701	1.6	0.673
INT REV SPORT EXER P	INTERNATIONAL REVIEW OF SPORT AND EXERCISE PSYCHOLOGY	1750-984X	7.4	2.679
INT REV AESTHET SOC	INTERNATIONAL REVIEW OF THE AESTHETICS AND SOCIOLOGY OF MUSIC	0351-5796	0.2	0.101
INT REV RED CROSS	INTERNATIONAL REVIEW OF THE RED CROSS	1816-3831	1.1	0.577
INT REV VICT	INTERNATIONAL REVIEW OF VICTIMOLOGY	0269-7580	3.0	0.777
INT REV PUB NON MARK	INTERNATIONAL REVIEW ON PUBLIC AND NONPROFIT MARKETING	1865-1984	2.4	0.407
INT REV PHYS CHEM	INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY	0144-235X	0.6	1.009
INT REV IMMUNOL	INTERNATIONAL REVIEWS OF IMMUNOLOGY	0883-0185	5.4	1.053
INT SECURITY	INTERNATIONAL SECURITY	0162-2889	6.5	3.953
INT SHIPBUILD PROG	INTERNATIONAL SHIPBUILDING PROGRESS	0020-868X	1.2	0.229
INT SMALL BUS J	INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP	0266-2426	4.9	1.316
INT SOC SECUR REV	INTERNATIONAL SOCIAL SECURITY REVIEW	0020-871X	0.7	0.408
INT SOC WORK	INTERNATIONAL SOCIAL WORK	0020-8728	1.3	0.392
INT SOCIOL	INTERNATIONAL SOCIOLOGY	0268-5809	1.5	0.738
INT SOIL WATER CONSE	INTERNATIONAL SOIL AND WATER CONSERVATION RESEARCH	2095-6339	8.3	1.519
INT SPECT	INTERNATIONAL SPECTATOR	0393-2729	2.5	0.873
INT SPORT COACH J	INTERNATIONAL SPORT COACHING JOURNAL	2328-918X	1.8	0.443
INT SPORTS LAW J	INTERNATIONAL SPORTS LAW JOURNAL	1567-7559	2.1	0.396
INT SPORTS STUD	INTERNATIONAL SPORTS STUDIES	1443-0770	0.1	0.037
INT STAT REV	INTERNATIONAL STATISTICAL REVIEW	0306-7734	1.9	1.5
INT STUD CATHOL EDUC	INTERNATIONAL STUDIES IN CATHOLIC EDUCATION	1942-2539	0.4	0.108
INT STUD SOCIOL EDUC	INTERNATIONAL STUDIES IN SOCIOLOGY OF EDUCATION	0962-0214	1.0	0.486
INT STUD PHILOS SCI	INTERNATIONAL STUDIES IN THE PHILOSOPHY OF SCIENCE	0269-8595	0.9	0.552
INT STUD ECON	INTERNATIONAL STUDIES OF ECONOMICS	2831-3224	1.1	0.194
INT STUD MANAG ORG	INTERNATIONAL STUDIES OF MANAGEMENT & ORGANIZATION	0020-8825	2.1	0.268
INT STUD PERSPECT	INTERNATIONAL STUDIES PERSPECTIVES	1528-3577	2.3	0.97
INT STUD QUART	INTERNATIONAL STUDIES QUARTERLY	0020-8833	3.3	1.985
INT STUD REV	INTERNATIONAL STUDIES REVIEW	1521-9488	4.0	2.035
INT SURG	INTERNATIONAL SURGERY	0020-8868	0.3	0.047
INT TAX PUBLIC FINAN	INTERNATIONAL TAX AND PUBLIC FINANCE	0927-5940	1.5	0.581
INT THEOR	INTERNATIONAL THEORY	1752-9719	3.0	1.973
INT TRADE J	INTERNATIONAL TRADE JOURNAL	0885-3908	0.8	0.0
INT T OPER RES	INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH	0969-6016	3.5	0.604
INT T ELECTR ENERGY	INTERNATIONAL TRANSACTIONS ON ELECTRICAL ENERGY SYSTEMS	2050-7038	2.6	0.308
INT UROGYNECOL J	INTERNATIONAL UROGYNECOLOGY JOURNAL	0937-3462	2.0	0.546
INT UROL NEPHROL	INTERNATIONAL UROLOGY AND NEPHROLOGY	0301-1623	2.2	0.481
INT WOOD PROD J	INTERNATIONAL WOOD PRODUCTS JOURNAL	2042-6445	1.1	0.211
INT WOUND J	INTERNATIONAL WOUND JOURNAL	1742-4801	2.2	0.568
INT KATHOL Z COMMUNI	INTERNATIONALE KATHOLISCHE ZEITSCHRIFT COMMUNIO	1439-6165	0.0	0.008
INT ARCH SOZIALGESCH	INTERNATIONALES ARCHIV FUR SOZIALGESCHICHTE DER DEUTSCHEN LITERATUR	0340-4528	0.0	0.063
INTERNET HIGH EDUC	INTERNET AND HIGHER EDUCATION	1096-7516	10.6	2.074
INTERNET HIST	INTERNET HISTORIES	2470-1475	1.6	0.557
INTERNET INTERV	INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH	N/A	3.8	1.162
INTERNET J ALLIED HE	INTERNET JOURNAL OF ALLIED HEALTH SCIENCES AND PRACTICE	1540-580X	0.4	0.142
INTERNET THINGS-NETH	INTERNET OF THINGS	2543-1536	7.1	1.099
INTERNET POLICY REV	INTERNET POLICY REVIEW	2197-6775	4.4	1.632
INTERNET PRAGMAT	INTERNET PRAGMATICS	2542-3851	1.6	0.759
INTERNET RES	INTERNET RESEARCH	1066-2243	7.2	1.501
INTERNET TECHNOL LET	INTERNET TECHNOLOGY LETTERS	N/A	1.2	0.155
INTERNETWORKING INDO	INTERNETWORKING INDONESIA	1942-9703	0.1	0.011
INTERPRETATION	INTERPRETATION-A JOURNAL OF BIBLE AND THEOLOGY	0020-9643	0.4	0.21
INTERPRETATION-J POL	INTERPRETATION-A JOURNAL OF POLITICAL PHILOSOPHY	0020-9635	0.1	0.097
INTERPRETATION-J SUB	INTERPRETATION-A JOURNAL OF SUBSURFACE CHARACTERIZATION	2324-8858	1.0	0.263
INTERPRET TRANSL TRA	INTERPRETER AND TRANSLATOR TRAINER	1750-399X	2.1	0.65
INTERPRETING	INTERPRETING	1384-6647	2.0	0.835
INTERSECCIONES ANTRO	INTERSECCIONES EN ANTROPOLOGIA	1850-373X	0.3	0.357
INTERSECTIONALITIES	INTERSECTIONALITIES-A GLOBAL JOURNAL OF SOCIAL WORK ANALYSIS RESEARCH POLITY AND PRACTICE	1925-1270	0.6	0.118
INTERSECTIONS-E EUR	INTERSECTIONS-EAST EUROPEAN JOURNAL OF SOCIETY AND POLITICS	N/A	0.6	0.312
INTERSECTIONS-GENDER	INTERSECTIONS-GENDER AND SEXUALITY IN ASIA AND THE PACIFIC	1440-9151	1.1	0.459
INTERSEZIONI	INTERSEZIONI	0393-2451	0.1	0.106
INTERTAX	INTERTAX	0165-2826	0.7	0.188
INTERVENCION-MEXICO	INTERVENCION-REVISTA INTERNACIONAL DE CONSERVACION RESTAURACION Y MUSEOLOGIA	2007-249X	0.0	0.01
INTERV SCH CLIN	INTERVENTION IN SCHOOL AND CLINIC	1053-4512	0.8	0.299
INTERV CARDIOL-REV R	INTERVENTIONAL CARDIOLOGY-REVIEWS RESEARCH RESOURCES	1756-1477	2.0	0.0
INTERV NEURORADIOL	INTERVENTIONAL NEURORADIOLOGY	1591-0199	1.9	0.554
INTERV RADIOL-HIGASH	INTERVENTIONAL RADIOLOGY	N/A	1.2	0.0
INTERVENTION	INTERVENTION-INTERNATIONAL JOURNAL OF MENTAL HEALTH PSYCHOSOCIAL WORK AND COUNSELLING IN AREAS OF ARMED CONFLICT	1571-8883	1.1	0.39
INTERVENTIONS-UK	INTERVENTIONS-INTERNATIONAL JOURNAL OF POSTCOLONIAL STUDIES	1369-801X	0.8	0.633
INTERVIROLOGY	INTERVIROLOGY	0300-5526	1.8	0.414
INTEST RES	INTESTINAL RESEARCH	1598-9100	4.7	0.948
INTRACTABLE RARE DIS	INTRACTABLE & RARE DISEASES RESEARCH	2186-3644	2.1	0.482
INTRECCI ARTE	INTRECCI D ARTE	2240-7251	0.2	0.174
INVAS PLANT SCI MANA	INVASIVE PLANT SCIENCE AND MANAGEMENT	1939-7291	1.5	0.327
INVENT MATH	INVENTIONES MATHEMATICAE	0020-9910	3.8	4.698
INVENTIONS-BASEL	INVENTIONS	N/A	2.4	0.369
INVERSE PROBL	INVERSE PROBLEMS	0266-5611	2.1	0.951
INVERSE PROBL IMAG	INVERSE PROBLEMS AND IMAGING	1930-8337	1.6	0.602
INVERTEBR BIOL	INVERTEBRATE BIOLOGY	1077-8306	0.8	0.307
INVERTEBR REPROD DEV	INVERTEBRATE REPRODUCTION & DEVELOPMENT	0792-4259	0.7	0.181
INVERTEBR SYST	INVERTEBRATE SYSTEMATICS	1445-5226	2.2	0.556
INVESTIG BIBLIOTECOL	INVESTIGACION BIBLIOTECOLOGICA	0187-358X	0.4	0.108
INVEST CLIN	INVESTIGACION CLINICA	0535-5133	0.4	0.031
INVEST ECON-MEX	INVESTIGACION ECONOMICA	0185-1667	0.5	0.197
INVESTIG EDUC ENFERM	INVESTIGACION Y EDUCACION EN ENFERMERIA	0120-5307	1.6	0.452
INVESTIG HIST ECON	INVESTIGACIONES DE HISTORIA ECONOMICA	1698-6989	0.8	0.321
INVESTIG FEM	INVESTIGACIONES FEMINISTAS	2171-6080	0.1	0.271
INVESTIG FENOMENOL	INVESTIGACIONES FENOMENOLOGICAS	1885-1088	0.3	0.194
INVESTIG GEOGR-SPAIN	INVESTIGACIONES GEOGRAFICAS-SPAIN	0213-4691	0.7	0.122
